IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.117.198,2053,2053,true,SIN,Asia Pacific,Singapore,201,7.07
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,199,7.07
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,198,7.03
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,192,7.01
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,210,6.98
8.219.201.245,2086,2086,false,SIN,Asia Pacific,Singapore,219,6.97
47.237.121.38,8080,8080,false,SIN,Asia Pacific,Singapore,195,6.92
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,218,6.66
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,201,6.51
47.237.84.173,2087,2087,true,SIN,Asia Pacific,Singapore,202,6.46
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,210,6.44
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,215,6.33
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,197,6.31
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,189,6.27
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,189,6.15
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,195,6.13
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,198,6.11
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,206,6.04
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,210,5.99
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,208,5.93
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,203,5.83
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,200,5.83
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,217,5.78
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,217,5.75
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,196,5.73
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,192,5.55
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,214,5.52
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,197,5.49
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,201,5.40
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,205,5.39
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,215,5.34
47.237.11.182,2053,2053,true,SIN,Asia Pacific,Singapore,211,5.33
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,195,5.27
8.219.147.58,80,80,false,SIN,Asia Pacific,Singapore,186,5.25
47.236.232.148,2086,2086,false,SIN,Asia Pacific,Singapore,199,5.22
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,202,5.22
8.222.191.138,2052,2052,false,SIN,Asia Pacific,Singapore,193,5.22
8.219.117.198,8080,8080,false,SIN,Asia Pacific,Singapore,209,5.08
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,191,5.04
8.222.164.209,8080,8080,false,SIN,Asia Pacific,Singapore,191,4.97
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,210,4.89
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,213,4.82
47.236.75.113,80,80,false,SIN,Asia Pacific,Singapore,206,4.66
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,214,4.55
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,189,4.52
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,215,4.45
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,209,4.39
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,202,4.30
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,211,4.23
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,218,4.20
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,188,4.15
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,215,4.02
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,217,3.94
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,24,3.93
47.237.84.173,2086,2086,false,SIN,Asia Pacific,Singapore,211,3.87
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,209,3.87
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,190,3.80
8.219.201.245,2052,2052,false,SIN,Asia Pacific,Singapore,196,3.70
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,194,3.65
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,213,3.53
8.219.117.198,2083,2083,true,SIN,Asia Pacific,Singapore,194,3.48
8.222.169.222,2096,2096,true,SIN,Asia Pacific,Singapore,210,3.45
8.219.201.245,2082,2082,false,SIN,Asia Pacific,Singapore,213,3.43
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,215,3.40
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,210,3.31
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,196,3.30
47.236.144.196,2086,2086,false,SIN,Asia Pacific,Singapore,210,3.29
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,213,3.21
47.236.150.13,2086,2086,false,SIN,Asia Pacific,Singapore,190,3.19
47.236.75.163,8443,443,true,SIN,Asia Pacific,Singapore,206,3.18
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,212,3.17
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,207,3.08
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,218,3.08
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,209,3.08
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,205,3.07
8.219.147.58,2095,2095,false,SIN,Asia Pacific,Singapore,198,3.04
8.222.128.32,443,443,true,SIN,Asia Pacific,Singapore,192,3.04
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,199,3.04
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,186,3.03
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,189,3.03
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,193,3.03
8.219.237.250,80,80,false,SIN,Asia Pacific,Singapore,204,3.00
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,206,2.95
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,216,2.94
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,200,2.91
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,190,2.89
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,206,2.71
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,194,2.70
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,215,2.68
47.236.102.102,2086,2086,false,SIN,Asia Pacific,Singapore,200,2.66
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,196,2.64
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,195,2.62
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,209,2.61
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,217,2.50
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,199,2.47
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,213,2.46
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,217,2.46
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,193,2.43
8.219.237.250,2082,2082,false,SIN,Asia Pacific,Singapore,198,2.42
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,199,2.37
8.222.169.222,8443,8443,true,SIN,Asia Pacific,Singapore,213,2.36
47.236.169.164,80,80,false,SIN,Asia Pacific,Singapore,219,2.36
